network_ids,map_name,sig_counts,nonsig_counts,total_voxels,proportion,se
4100,global_age,123,1034,1157,0.1063094209161625,0.00906176481847983
4200,global_age,15,241,256,0.05859375,0.014678923355036537
7000,global_age,229,1049,1278,0.17918622848200313,0.010727763842541682
7010,global_age,125,1409,1534,0.08148631029986962,0.00698509735748904
7020,global_age,49,374,423,0.11583924349881797,0.015560490761192959
7100,global_age,179,1611,1790,0.1,0.007090791888705983
4100,global_sex,163,994,1157,0.14088159031979255,0.010227911369592228
4200,global_sex,6,250,256,0.0234375,0.009455525747576701
7000,global_sex,26,1252,1278,0.02034428794992175,0.003949049319811929
7010,global_sex,21,1513,1534,0.013689700130378096,0.0029668191387905037
7020,global_sex,8,415,423,0.018912529550827423,0.006623056970397879
7100,global_sex,146,1644,1790,0.08156424581005586,0.006469158442825139
4100,unscaled_age,47,1110,1157,0.04062229904926534,0.005803772494495535
4200,unscaled_age,0,256,256,0,0
7000,unscaled_age,65,1213,1278,0.05086071987480438,0.006145975122809124
7010,unscaled_age,35,1499,1534,0.022816166883963495,0.0038123854130459266
7020,unscaled_age,18,405,423,0.0425531914893617,0.00981416178754133
7100,unscaled_age,124,1666,1790,0.06927374301675977,0.006001624153790059
4100,unscaled_sex,6,1151,1157,0.005185825410544511,0.002111607756341817
4200,unscaled_sex,0,256,256,0,0
7000,unscaled_sex,10,1268,1278,0.00782472613458529,0.0024646959192916257
7010,unscaled_sex,4,1530,1534,0.002607561929595828,0.0013020800104340002
7020,unscaled_sex,0,423,423,0,0
7100,unscaled_sex,1,1789,1790,5.586592178770949e-4,5.585031460154441e-4
